identifier,gender,test preparation course,test,score
267,group A,none,writing score,81
268,group A,none,math score,69
268,group A,none,reading score,72
268,group A,none,writing score,77
269,group A,completed,math score,88
269,group A,completed,reading score,92
269,group A,completed,writing score,95
270,group A,none,math score,71
270,group A,none,reading score,76
270,group A,none,writing score,70
271,group B,none,math score,69
271,group B,none,reading score,63
271,group B,none,writing score,61
272,group B,none,math score,58
272,group B,none,reading score,49
272,group B,none,writing score,42
273,group A,none,math score,47
273,group A,none,reading score,53
273,group A,none,writing score,58
274,group A,none,math score,65
274,group A,none,reading score,70
274,group A,none,writing score,71
275,group B,completed,math score,88
275,group B,completed,reading score,85
275,group B,completed,writing score,76
276,group B,none,math score,83
276,group B,none,reading score,78
276,group B,none,writing score,73
277,group A,completed,math score,85
277,group A,completed,reading score,92
277,group A,completed,writing score,93
278,group A,completed,math score,59
278,group A,completed,reading score,63
278,group A,completed,writing score,75
279,group A,none,math score,65
279,group A,none,reading score,86
279,group A,none,writing score,80
280,group B,none,math score,73
280,group B,none,reading score,56
280,group B,none,writing score,57
281,group B,none,math score,53
281,group B,none,reading score,52
281,group B,none,writing score,42
282,group B,none,math score,45
282,group B,none,reading score,48
282,group B,none,writing score,46
283,group A,none,math score,73
283,group A,none,reading score,79
283,group A,none,writing score,84
284,group A,completed,math score,70
284,group A,completed,reading score,78
284,group A,completed,writing score,78
285,group A,none,math score,37
285,group A,none,reading score,46
285,group A,none,writing score,46
286,group B,completed,math score,81
286,group B,completed,reading score,82
286,group B,completed,writing score,82
287,group B,completed,math score,97
287,group B,completed,reading score,82
287,group B,completed,writing score,88
288,group A,none,math score,67
288,group A,none,reading score,89
288,group A,none,writing score,82
289,group B,none,math score,88
289,group B,none,reading score,75
289,group B,none,writing score,76
290,group B,completed,math score,77
290,group B,completed,reading score,76
290,group B,completed,writing score,77
291,group B,none,math score,76
291,group B,none,reading score,70
291,group B,none,writing score,68
292,group B,none,math score,86
292,group B,none,reading score,73
292,group B,none,writing score,70
293,group B,completed,math score,63
293,group B,completed,reading score,60
293,group B,completed,writing score,57
294,group A,none,math score,65
294,group A,none,reading score,73
294,group A,none,writing score,75
295,group B,completed,math score,78
295,group B,completed,reading score,77
295,group B,completed,writing score,80
296,group B,none,math score,67
296,group B,none,reading score,62
296,group B,none,writing score,60
297,group B,completed,math score,46
297,group B,completed,reading score,41
297,group B,completed,writing score,43
298,group B,completed,math score,71
298,group B,completed,reading score,74
298,group B,completed,writing score,68
299,group B,completed,math score,40
299,group B,completed,reading score,46
299,group B,completed,writing score,50
300,group B,none,math score,90
300,group B,none,reading score,87
300,group B,none,writing score,75
301,group B,completed,math score,81
301,group B,completed,reading score,78
301,group B,completed,writing score,81
302,group B,none,math score,56
302,group B,none,reading score,54
302,group B,none,writing score,52
303,group A,completed,math score,67
303,group A,completed,reading score,84
303,group A,completed,writing score,81
304,group B,none,math score,80
304,group B,none,reading score,76
304,group B,none,writing score,64
305,group A,completed,math score,74
305,group A,completed,reading score,75
305,group A,completed,writing score,83
306,group B,none,math score,69
306,group B,none,reading score,67
306,group B,none,writing score,69
307,group B,completed,math score,99
307,group B,completed,reading score,87
307,group B,completed,writing score,81
308,group B,none,math score,51
308,group B,none,reading score,52
308,group B,none,writing score,44
309,group A,none,math score,53
309,group A,none,reading score,71
309,group A,none,writing score,67
310,group A,none,math score,49
310,group A,none,reading score,57
310,group A,none,writing score,52
311,group A,none,math score,73
311,group A,none,reading score,76
311,group A,none,writing score,80
312,group B,none,math score,66
312,group B,none,reading score,60
312,group B,none,writing score,57
313,group B,completed,math score,67
313,group B,completed,reading score,61
313,group B,completed,writing score,68
314,group A,completed,math score,68
314,group A,completed,reading score,67
314,group A,completed,writing score,69
315,group A,completed,math score,59
315,group A,completed,reading score,64
315,group A,completed,writing score,75
316,group B,none,math score,71
316,group B,none,reading score,66
316,group B,none,writing score,65
317,group A,completed,math score,77
317,group A,completed,reading score,82
317,group A,completed,writing score,91
318,group B,none,math score,83
318,group B,none,reading score,72
318,group B,none,writing score,78
319,group B,none,math score,63
319,group B,none,reading score,71
319,group B,none,writing score,69
320,group A,none,math score,56
320,group A,none,reading score,65
320,group A,none,writing score,63
321,group A,completed,math score,67
321,group A,completed,reading score,79
321,group A,completed,writing score,84
322,group A,none,math score,75
322,group A,none,reading score,86
322,group A,none,writing score,79
323,group A,none,math score,71
323,group A,none,reading score,81
323,group A,none,writing score,80
324,group A,none,math score,43
324,group A,none,reading score,53
324,group A,none,writing score,53
325,group A,none,math score,41
325,group A,none,reading score,46
325,group A,none,writing score,43
326,group A,none,math score,82
326,group A,none,reading score,90
326,group A,none,writing score,94
327,group B,none,math score,61
327,group B,none,reading score,61
327,group B,none,writing score,62
328,group B,none,math score,28
328,group B,none,reading score,23
328,group B,none,writing score,19
329,group B,completed,math score,82
329,group B,completed,reading score,75
329,group B,completed,writing score,77
330,group A,none,math score,41
330,group A,none,reading score,55
330,group A,none,writing score,51
331,group B,none,math score,71
331,group B,none,reading score,60
331,group B,none,writing score,61
332,group B,none,math score,47
332,group B,none,reading score,37
332,group B,none,writing score,35
333,group B,completed,math score,62
333,group B,completed,reading score,56
333,group B,completed,writing score,53
334,group B,none,math score,90
334,group B,none,reading score,78
334,group B,none,writing score,81
335,group A,none,math score,83
335,group A,none,reading score,93
335,group A,none,writing score,95
336,group A,none,math score,61
336,group A,none,reading score,68
336,group A,none,writing score,66
337,group B,completed,math score,76
337,group B,completed,reading score,70
337,group B,completed,writing score,69
338,group B,none,math score,49
338,group B,none,reading score,51
338,group B,none,writing score,43
339,group A,none,math score,24
339,group A,none,reading score,38
339,group A,none,writing score,27
340,group A,completed,math score,35
340,group A,completed,reading score,55
340,group A,completed,writing score,60
341,group B,none,math score,58
341,group B,none,reading score,61
341,group B,none,writing score,52
342,group A,none,math score,61
342,group A,none,reading score,73
342,group A,none,writing score,63
343,group A,completed,math score,69
343,group A,completed,reading score,76
343,group A,completed,writing score,74
344,group B,completed,math score,67
344,group B,completed,reading score,72
344,group B,completed,writing score,67
345,group B,none,math score,79
345,group B,none,reading score,73
345,group B,none,writing score,67
346,group A,none,math score,72
346,group A,none,reading score,80
346,group A,none,writing score,75
347,group B,none,math score,62
347,group B,none,reading score,61
347,group B,none,writing score,57
348,group A,completed,math score,77
348,group A,completed,reading score,94
348,group A,completed,writing score,95
349,group B,none,math score,75
349,group B,none,reading score,74
349,group B,none,writing score,66
350,group B,none,math score,87
350,group B,none,reading score,74
350,group B,none,writing score,76
351,group A,none,math score,52
351,group A,none,reading score,65
351,group A,none,writing score,69
352,group B,none,math score,66
352,group B,none,reading score,57
352,group B,none,writing score,52
353,group A,completed,math score,63
353,group A,completed,reading score,78
353,group A,completed,writing score,80
354,group A,none,math score,46
354,group A,none,reading score,58
354,group A,none,writing score,57
355,group A,none,math score,59
355,group A,none,reading score,71
355,group A,none,writing score,70
356,group A,none,math score,61
356,group A,none,reading score,72
356,group A,none,writing score,70
357,group B,none,math score,63
357,group B,none,reading score,61
357,group B,none,writing score,61
358,group A,completed,math score,42
