index,character,voice-actor,movie
199,Commander Lyle Rourke,James Garner,Atlantis: The Lost Empire
200,Cookie,Jim Varney,Atlantis: The Lost Empire
201,Copper,Corey Feldman; Kurt Russell,The Fox and the Hound
202,Cornelius Robinson,Tom Selleck,Meet the Robinsons
203,Cousin Randy,Randy Newman,The Princess and the Frog
204,Crane,Jeff Bennett,Belle's Magical World
205,Creeper,Phil Fondacaro,The Black Cauldron
206,Cri-Kee,None,Mulan
207,The Crocodile (Tick Tock),None,Peter Pan
208,Cruella de Vil,Betty Lou Gerson,101 Dalmatians
209,Crumbelina DiCaramello,Cymbre Walk,Wreck-It Ralph
210,Cubby,Robert Ellis,Peter Pan
211,Cyril Proudbottom,J. Pat O'Malley,The Adventures of Ichabod and Mr. Toad
212,Daisy Duck,Clarence Nash; Gloria Blondell,Mr. Duck Steps Out
213,Dale,Dessie Flynn; Corey Burton,Private Pluto
214,Dallben,Freddie Jones,The Black Cauldron
215,Danielle,Kath Soucie,Lady and the Tramp II: Scamp's Adventure
216,Danny,Andrew McDonough,Return to Never Land
217,Darby,Chloë Grace Moretz,My Friends Tigger & Pooh
218,Darling,Peggy Lee,Lady and the Tramp
219,Dash,Stephen Furst,The Little Mermaid II: Return to the Sea
220,David Kawena,Jason Scott Lee,Lilo & Stitch
221,Demetrius,Wayne Knight,Hercules
222,Denahi,Jason Raize,Brother Bear
223,Derek Blunt,Peter Renaday,Darkwing Duck
224,DeSoto,Carl Weintraub,Oliver & Company
225,Dewey,Clarence Nash; Russi Taylor,Donald's Nephews
226,Dex Barrington,Justin Berfield,The Country Bears
227,Diablo,None,Sleeping Beauty
228,Digger the Mole,Dub Taylor,The Rescuers
229,Dijon the Thief,Richard Libertini,DuckTales
230,Dinah the Cat,None,Alice in Wonderland
231,Dinah the Dachshund,None,The Sleepwalker
232,Dinky,Richard Bakalyan,The Fox and the Hound
233,The Director,James Lipton,Bolt
234,Dixie,Reba McEntire,The Fox and the Hound 2
235,Dizzie the Vulture,Lord Tim Hudson,The Jungle Book
236,Djali,None,The Hunchback of Notre Dame
237,Doc,Roy Atwell,Snow White and the Seven Dwarfs
238,Doctor Mouse,Bernard Fox,The Rescuers Down Under
239,Dodger,Billy Joel,Oliver & Company
240,The Dodo,Bill Thompson,Alice in Wonderland
241,The Dog Catcher,Jeff Bennett,Lady and the Tramp II: Scamp's Adventure
242,Doli,John Byner,The Black Cauldron
243,Don Karnage,Jim Cummings,TaleSpin
244,Donald Duck,Clarence Nash; Tony Anselmo,The Wise Little Hen
245,Doofus Drake,Brian Cummings,DuckTales
246,The Doorknob,Joseph Kearns,Alice in Wonderland
247,The Doorman,Don Barclay,Cinderella
248,Dopey,Eddie Collins,Snow White and the Seven Dwarfs
249,Doris,Ethan Sandler,Meet the Robinsons
250,The Dormouse,Jimmy MacDonald,Alice in Wonderland
251,Doug Ramses,Rich Moore,Zootopia
252,Dr. Calico,Malcolm McDowell,Bolt
253,Dr. David Q. Dawson,Val Bettin,The Great Mouse Detective
254,Dr. Doppler,David Hyde Pierce,Treasure Planet
255,Dr. Facilier,Keith David,The Princess and the Frog
256,Dr. Forrester,Ronn Moss,Bolt
257,Dr. Jacques von Hamsterviel,Jeff Bennett,Stitch! The Movie
258,Dr. Joshua Sweet,Phil Morris,Atlantis: The Lost Empire
259,Dr. Jumba Jookiba,David Ogden Stiers,Lilo & Stitch
260,Dr. Reginald Bushroot,Tino Insana,Darkwing Duck
261,Drake Mallard (Darkwing Duck),Jim Cummings,Darkwing Duck
262,Drizella Tremaine,Rhoda Williams; Russi Taylor,Cinderella
263,Duchess,Eva Gabor,The Aristocats
264,Duchess,Marjorie Bennett,One Hundred and One Dalmatians
265,Duckworth,Chuck McCann,DuckTales
266,Duke,None,Fantasia 2000
267,Duke of Weselton,Alan Tudyk,Frozen
268,Duke Weaselton,Alan Tudyk,Zootopia
269,Dumbo,None,Dumbo
270,Duncan,Horatio Sanz,Wreck-It Ralph
271,Ed,Jim Cummings,The Lion King
272,Edgar Balthazar the Butler,Roddy Maude-Roxby,The Aristocats
273,Edward,Roger Rees,Return to Never Land
274,Eema,Della Reese,Dinosaur
275,Eeyore,Ralph Wright,Winnie the Pooh and the Honey Tree
276,Einstein,Richard Mulligan,Oliver & Company
277,El Capitan,Jim Cummings,DuckTales
278,"Eli ""Big Daddy"" La Bouff",John Goodman,The Princess and the Frog
279,Ellie Mae,Jeanette Nolan,The Rescuers
280,Elliott,Charlie Callas,Pete's Dragon
281,Elmer Elephant,None,Silly Symphonies
282,Elsa,Idina Menzel,Frozen
283,Emmitt Otterton,None,Zootopia
284,Emperor of China,Pat Morita,Mulan
285,The Enchantress,Kath Soucie,Beauty and the Beast: The Enchanted Christmas
286,Esmeralda,Demi Moore,The Hunchback of Notre Dame
287,Eudora,Oprah Winfrey,The Princess and the Frog
288,Evangaline,None,The Princess and the Frog
289,Evinrude,Jimmy MacDonald,The Rescuers
290,Fa Li,Freda Foh Shen,Mulan
291,Fa Zhou,Soon-Tek Oh,Mulan
292,Fagin,Dom DeLuise,Oliver & Company
293,Fairy Godmother,Verna Felton; Russi Taylor,Cinderella
294,Fairy Mary,Jane Horrocks,Disney Fairies
295,Faline,Cammie King; Ann Gillis,Bambi
296,Fall-Apart Rabbit,Frank Welker,Bonkers
297,Faloo,Carla Meyer,The Rescuers Down Under
298,Fat Cat,Jim Cummings,Chip 'n Dale Rescue Rangers
299,Father Wolf,Ben Wright,The Jungle Book
300,Fauna,Barbara Jo Allen,Sleeping Beauty
301,Fawn,America Ferrera,Disney Fairies
302,Felicia the Cat,Frank Welker,The Great Mouse Detective
303,Fenton Crackshell (Gizmoduck),Hamilton Camp,DuckTales
304,Fenton Q. Harcourt,David Ogden Stiers,Atlantis: The Lost Empire
305,Ferdie Fieldmouse,None,Mickey's Steam Roller
306,Ferdinand the Bull,Milt Kahl,Silly Symphonies
307,Fflewddur Fflam,Nigel Hawthorne,The Black Cauldron
308,Fidget,Candy Candido,The Great Mouse Detective
309,Fiddler Pig,Mary Moder,Three Little Pigs
310,Fife the Piccolo,Paul Reubens,Beauty and the Beast: The Enchanted Christmas
311,Fifer Pig,Dorothy Compton,Three Little Pigs
312,Fifi the Featherduster,Kimmy Robertson,Beauty and the Beast
313,Figaro the Cat,Mel Blanc,Pinocchio
314,Figment,Dave Goelz,Journey into Imagination with Figment
315,Finnick,"Tommy ""Tiny"" Lister Jr.",Zootopia
316,First Ancestor Fa,George Takei,Mulan
317,Firebird !The Firebird,Hugo Weaving,Fantasia 2000
318,Fish Out of Water,Dan Molina,Chicken Little
319,Fix-It Felix Jr.,Jack McBrayer,Wreck-It Ralph
320,Flaps the Vulture,Chad Stuart,The Jungle Book
321,Flash Slothmore,Raymond S. Persi,Zootopia
322,Flintheart Glomgold,Hal Smith,DuckTales
323,Flit,Frank Welker,Pocahontas
324,Flora,Verna Felton,Sleeping Beauty
325,Flotsam and Jetsam,Paddi Edwards,The Little Mermaid
326,Flounder,Jason Marin,The Little Mermaid
327,Flower,Stan Alexander; Sterling Holloway,Bambi
328,Flunkey the Baboon,Leo De Lyon,The Jungle Book
329,Flynn Rider,Zachary Levi,Tangled
330,Footman,Larry Grey,Cinderella
331,Forte the Pipe Organ,Tim Curry,Beauty and the Beast: The Enchanted Christmas
332,Foxy Loxy,Amy Sedaris,Chicken Little
333,Fran,Edie McClurg,Higglytown Heroes
334,Francis,Roscoe Lee Browne,Oliver & Company
335,Francois,Bronson Pinchot,Lady and the Tramp II: Scamp's Adventure
336,Francois,Ed Gilbert,The Rescuers Down Under
337,Frank,Wayne Robson,The Rescuers Down Under
338,Frankie the Frog,Aurian Redson,Meet the Robinsons
339,Franny Robinson,Nicole Sullivan,Meet the Robinsons
340,Fred,S. Scott Bullock,Timon and Pumbaa
341,Friar Tuck,Andy Devine,Robin Hood
342,Friend Owl,Will Wright,Bambi
343,Frou-Frou,Nancy Kulp,The Aristocats
344,Gadget Hackwrench,Tress MacNeille,Chip 'n Dale Rescue Rangers
345,"Gaetan ""Mole"" Moliére",Corey Burton,Atlantis: The Lost Empire
346,Captain Gantu,Kevin Michael Richardson,Lilo & Stitch
347,Gaston,Richard White,Beauty and the Beast
348,Gazelle,Shakira,Zootopia
349,General Hologram,Dennis Haysbert,Wreck-It Ralph
350,General Li,James Shigeta,Mulan
351,Genie,Robin Williams,Aladdin
352,George Darling,Hans Conried,Peter Pan
353,Georges Hautecourt,Charles Lane,The Aristocats
354,Georgette,Bette Midler,Oliver & Company
355,Geppetto,Christian Rub,Pinocchio
356,Giddy the Elephant,Dorothy Scott,Dumbo
357,Gideon,Mel Blanc,Pinocchio
358,Giselle,Amy Adams,Enchanted
359,Gladstone Gander,Rob Paulsen,DuckTales
360,Gliss,Grey Delisle,Secret of the Wings
361,Glittering Goldie,Joan Gerber,DuckTales
362,Gloyd Orangeboar,None,Wreck-It Ralph
363,Goob,Matthew Josten,Meet the Robinsons
364,Goofy,Pinto Colvig; Bill Farmer,Mickey's Revue
365,Goosey Loosey,Mark Walton,Chicken Little
366,Gopher,Howard Morris; Michael Gough,Winnie the Pooh and the Honey Tree
367,Gosalyn Mallard,Christine Cavanaugh,Darkwing Duck
368,Governor John Ratcliffe,David Ogden Stiers,Pocahontas
369,Grace,Jennifer Tilly,Home on the Range
370,Gramma Tala,Rachel House,Moana
371,Gramps,Larry Clemmons,The Rescuers
372,Grand Councilwoman,Zoe Caldwell,Lilo & Stitch
373,The Grand Duke,Luis Van Rooten; Rob Paulsen,Cinderella
374,Grandma Duck,June Foray,"This is Your Life, Donald Duck"
375,Grandmother Fa,June Foray,Mulan
376,Grandmother Willow,Linda Hunt,Pocahontas
377,Granny Rose,Vicki Lawrence,The Fox and the Hound 2
378,Greasy the Weasel,Charles Fleischer,Who Framed Roger Rabbit
379,Great Prince of the Forest,Fred Shields,Bambi
380,Grimsby,Ben Wright,The Little Mermaid
381,The Groundhog,Brian Pimental,Bambi II
382,Grumpy,Pinto Colvig,Snow White and the Seven Dwarfs
383,Gurgi,John Byner,The Black Cauldron
384,Gus Lollygagger,Jimmy MacDonald; Corey Burton,Cinderella
385,Gus Goose,Clarence Nash,Donald's Cousin Gus
386,Gyro Gearloose,Hal Smith,DuckTales
387,Hades,James Woods,Hercules
388,Hands,Micheal McShane,Treasure Planet
389,Happy,Otis Harlan,Snow White and the Seven Dwarfs
390,Harold the Seahorse,Will Ryan,The Little Mermaid
391,Haroud Hazi Bin,James Avery,Aladdin
392,Harvey Fenner,Corey Burton,The Princess and the Frog
393,Headless Horseman,None,The Adventures of Ichabod and Mr. Toad
394,Heihei the Rooster,Alan Tudyk,Moana
395,Helga Sinclair,Claudia Christian,Atlantis: The Lost Empire
396,Hen Wen,None,The Black Cauldron
397,Henry Fenner,Jerry Kernion,The Princess and the Frog
398,Hera,Samantha Eggar,Hercules
399,Herb Muddlefoot,Jim Cummings,Darkwing Duck
400,Hercules,Tate Donovan; Joshua Keaton,Hercules
401,Hermes,Paul Shaffer,Hercules
402,Hiram Flaversham,Alan Young; Alan Young,The Great Mouse Detective
403,Hit Cat the English Cat,Lord Tim Hudson,The Aristocats
404,Honker Muddlefoot,Katie Leigh,Darkwing Duck
405,Hook Hand,Brad Garrett,Tangled
406,Hoonah,Tress MacNeille,Brother Bear 2
407,Horace & Jasper,Frederick Worlock; J. Pat O'Malley,101 Dalmatians
408,Horace Horsecollar,Walt Disney; Bill Farmer,The Plow Boy
409,The Horned King,John Hurt,The Black Cauldron
410,Huey,Clarence Nash; Russi Taylor,Donald's Nephews
411,Hugo,Jason Alexander,The Hunchback of Notre Dame
412,Humbert the Huntsman,Stuart Buchanan,Snow White and the Seven Dwarfs
413,Humphrey the Bear,Jimmy MacDonald; Jim Cummings,Hold That Pose
414,Hyacinth Hippo,Tress MacNeille,Fantasia
415,Iago,Gilbert Gottfried,Aladdin
416,Ian the Alligator,Kevin Michael Richardson,The Princess and the Frog
417,Ichabod Crane,Pinto Colvig,The Adventures of Ichabod and Mr. Toad
418,The Indian Chief,Candy Candido,Peter Pan
419,Innoko,Wanda Sykes,Brother Bear 2
420,Iridessa,Raven-Symoné,Disney Fairies
421,J. Audubon Woodlore,Bill Thompson,Grin and Bear It
422,J. Gander Hooter,Danny Mann,Darkwing Duck
423,J. Thaddeus Toad,Eric Blore,The Adventures of Ichabod and Mr. Toad
424,J. Worthington Foulfellow,Walter Catlett,Pinocchio
425,Jack-in-the-Box,John Lithgow,Fantasia 2000
426,"Jackson ""Jaq"" Hopscotch",Jimmy MacDonald; Rob Paulsen,Cinderella
427,Jafar,Jonathan Freeman,Aladdin
428,Jake,Tristan Rogers,The Rescuers Down Under
429,Jane,Harriet Owen,Return to Never Land
430,Jane Porter,Minnie Driver,Tarzan
431,Jeb the Goat,Joe Flaherty,Home on the Range
432,"Jennifer ""Jenny"" Foxworth",Natalie Gregory,Oliver & Company
433,Jenny Wren,Martha Wentworth,Silly Symphonies
434,Jerry Jumbeaux Jr.,John DiMaggio,Zootopia
435,Jesse the Ram,John DiMaggio,Zootopia
436,Jessica Rabbit,Kathleen Turner,Who Framed Roger Rabbit
437,Jim Crow,Cliff Edwards,Dumbo
438,Jim Dear,Lee Millar,Lady and the Tramp
439,Jim Hawkins,Joseph Gordon-Levitt,Treasure Planet
440,Jiminy Cricket,Cliff Edwards; Eddie Carroll,Pinocchio
441,Jobless Joe,None,Fantasia 2000
442,Jock,Bill Thompson,Lady and the Tramp
443,Joe Giraffe,Pinto Colvig,Silly Symphonies
444,Joey Hippo,None,Silly Symphonies
445,John Darling,Paul Collins,Peter Pan
446,John Silver,Brian Murray,Treasure Planet
447,Johnny Appleseed,Dennis Day,Melody Time
448,José Carioca,José Oliveira; Rob Paulsen,Saludos Amigos
449,Jubileena Bing-Bing,Josie Trinidad,Wreck-It Ralph
450,Judge Claude Frollo,Tony Jay,The Hunchback of Notre Dame
451,Judge Doom,Christopher Lloyd,Who Framed Roger Rabbit
452,Judy Hopps,Ginnifer Goodwin,Zootopia
453,June,None,House of Mouse
454,Junior,Clint Howard,The Jungle Book
455,Junior the Buffalo,Lance LeGault,Home on the Range
456,Kaa,Sterling Holloway; Jim Cummings,The Jungle Book
457,Kala,Glenn Close,Tarzan
458,Kanga,Barbara Luddy,Winnie the Pooh and the Honey Tree
459,Kata,Catherine O'Hara,Brother Bear 2
460,Katrina Van Tassel,None,The Adventures of Ichabod and Mr. Toad
461,Kekata the Medicine man,Gordon Tootoosis,Pocahontas
462,Kenai,Joaquin Phoenix,Brother Bear
463,Kerchak,Lance Henriksen,Tarzan
464,Kiara,Michelle Horn; Neve Campbell,The Lion King II: Simba's Pride
465,The King,Luis Van Rooten,Cinderella
466,The King of Hearts,Dink Trout,Alice in Wonderland
467,King Candy/Turbo,Alan Tudyk,Wreck-It Ralph
468,King Eiddileg,Arthur Malet,The Black Cauldron
469,King Hubert,Bill Thompson,Sleeping Beauty
470,King Kashekim Nedakh,Leonard Nimoy,Atlantis: The Lost Empire
471,King Leonidas,Lennie Weinrib,Bedknobs and Broomsticks
472,King Louie,Louis Prima,The Jungle Book
473,King Richard,Peter Ustinov,Robin Hood
474,King Roland II,Travis Willingham,Sofia the First
475,King Stefan,Taylor Holmes,Sleeping Beauty
476,King Triton,Kenneth Mars,The Little Mermaid
477,Kirby,Sean Elmore,Chicken Little
478,Kit Cloudkicker,R. J. Williams; Alan Roberts,TaleSpin
479,Kocoum,James Apaumut Fall,Pocahontas
480,Koda,Jeremy Suarez,Brother Bear
481,Kovu,Ryan O'Donohue; Jason Marsden,The Lion King II: Simba's Pride
482,Krebbs,Douglas Seale,The Rescuers Down Under
483,Kristoff,Jonathan Groff,Frozen
484,Kron,Samuel E. Wright,Dinosaur
485,Kronk Pepikrankenitz,Patrick Warburton,The Emperor's New Groove
486,Kuzco,David Spade,The Emperor's New Groove
487,Lachesis,Carole Shelley,Hercules
488,Lady,Barbara Luddy,Lady and the Tramp
489,Lady DeBurne,April Winchell,The Hunchback of Notre Dame II
490,Lady Kluck,Carole Shelley,Robin Hood
491,Lady Mouse,Shani Wallis,The Great Mouse Detective
492,Lady Tremaine,Eleanor Audley; Susanne Blakeslee,Cinderella
493,Lafayette the Basset Hound,George Lindsey,The Aristocats
494,Lampwick,Frankie Darro,Pinocchio
495,Larry the Duck,Marshall Efron,Home on the Range
496,Launchpad McQuack,Terry McGovern,DuckTales
497,Laverne,Mary Wickes,The Hunchback of Notre Dame
498,Lawrence the Valet,Peter Bartlett,The Princess and the Frog
499,Le Fou,Jesse Corti,Beauty and the Beast
500,Lefty,Nathan Greno,Meet the Robinsons
501,Le Plufme,Rob Paulsen,Belle's Magical World
502,Lewis,Jordan Fry,Meet the Robinsons
503,Li Shang,B.D. Wong,Mulan
504,Lil Bad Wolf,Andrew Lawrence,The Porker's Court
505,Lilo Pelekai,Daveigh Chase,Lilo & Stitch
506,Ling,Gedde Watanabe,Mulan
507,Liquidator !The Liquidator,Jack Angel,Darkwing Duck
508,Little John,Phil Harris,Robin Hood
509,Little Toot,None,Melody Time
510,Mr. Litwak,Ed O'Neill,Wreck-It Ralph
511,Lizzy,Tracey Miller-Zarneke,Meet the Robinsons
